Time,asks,bids,price
2020-07-04 16:00:00 UTC,11506539.5129079,14699308.390136,9070.24716216216
2020-07-04 17:00:00 UTC,12084208.4211185,13570921.4863297,9112.17597744361
2020-07-04 18:00:00 UTC,15208492.201143,12034250.7362222,9163.71402439024
2020-07-04 19:00:00 UTC,15176151.2149116,12826345.5468974,9129.22156
2020-07-04 20:00:00 UTC,15065292.6878771,12764038.5681473,9130.57566666667
2020-07-04 21:00:00 UTC,13048117.1450846,12628929.4920887,9129.34642307692
2020-07-04 22:00:00 UTC,12618327.7812188,12754488.3541397,9122.67146825397
2020-07-04 23:00:00 UTC,12676526.4285756,12929786.1996713,9124.32768595041
2020-07-05 00:00:00 UTC,14679641.3431511,12713259.4386299,9138.52341269841
2020-07-05 01:00:00 UTC,14724045.8678461,12809000.0646428,9131.45188
2020-07-05 02:00:00 UTC,14426747.443288,12630460.852119,9127.61615942029
2020-07-05 03:00:00 UTC,14409929.8671407,12806265.2383418,9124.50452205883
2020-07-05 04:00:00 UTC,14915685.6526477,13177861.5549302,9123.50234126984
2020-07-05 05:00:00 UTC,14840247.0904875,13272747.20838,9115.92350427351
2020-07-05 06:00:00 UTC,14463651.1420111,14248365.4569426,9077.57663551402
2020-07-05 07:00:00 UTC,14584106.3441793,14721954.4730515,9060.45873076923
2020-07-05 08:00:00 UTC,14631559.6107455,14612507.1247059,9064.26581967213
2020-07-05 09:00:00 UTC,14487774.0930986,14831127.6554324,9061.79971962617
2020-07-05 10:00:00 UTC,12613693.9880932,15002842.7815459,9031.1490234375
2020-07-05 11:00:00 UTC,12673289.6092862,14856934.1251955,9038.7646
2020-07-05 12:00:00 UTC,12618876.3862426,14742743.082245,9031.21800884956
2020-07-05 13:00:00 UTC,12454854.3850782,14460641.3938576,9028.3519047619
2020-07-05 14:00:00 UTC,12666822.5327713,14798222.0766296,9025.84226923077
2020-07-05 15:00:00 UTC,13476742.1152649,14648731.3973645,9043.4458490566
2020-07-05 16:00:00 UTC,12897904.8053643,14428761.4921519,9033.34568345324
2020-07-05 17:00:00 UTC,12829579.4139515,14488280.7744022,9036.82816793893
2020-07-05 18:00:00 UTC,12938181.3863826,14509627.0638436,9039.54434108527
2020-07-05 19:00:00 UTC,13693533.9507068,14518562.1265734,9042.00768181818
2020-07-05 20:00:00 UTC,12746383.0261471,14475797.9859041,9030.45868421053
2020-07-05 21:00:00 UTC,12384489.2201692,14089427.7003515,9002.78093023256
2020-07-05 22:00:00 UTC,14847859.7750071,12970238.8430225,9058.16666666667
2020-07-05 23:00:00 UTC,15178365.3726043,12803008.8354773,9078.12412751678
2020-07-06 00:00:00 UTC,14680965.0591471,13244527.203936,9072.8119140625
2020-07-06 01:00:00 UTC,15374449.3927704,12870976.0050812,9080.20652317881
2020-07-06 02:00:00 UTC,15116585.0403721,12660590.8481478,9103.40946564886
2020-07-06 03:00:00 UTC,15027850.3884813,13193712.693247,9088.7496350365
2020-07-06 04:00:00 UTC,15020993.4921636,13389188.3356496,9089.88165441177
2020-07-06 05:00:00 UTC,14736015.2344069,13432719.2573972,9095.34903508772
2020-07-06 06:00:00 UTC,14929333.4420359,11689121.9399282,9175.49112612613
2020-07-06 07:00:00 UTC,15320291.2708462,11799064.4118422,9199.14131355932
2020-07-06 08:00:00 UTC,16249079.6882785,11944419.7596108,9195.3553125
2020-07-06 09:00:00 UTC,16138318.7800714,11883517.6911926,9190.75822580645
2020-07-06 10:00:00 UTC,16052431.7003042,12036051.5232436,9193.69609756098
2020-07-06 11:00:00 UTC,16445738.0595455,11439412.0142348,9202.96675182482
2020-07-06 12:00:00 UTC,16440831.4097145,10256355.6701953,9229.01996350365
2020-07-06 13:00:00 UTC,17299394.6635576,10050622.7240805,9250.83562992126
2020-07-06 14:00:00 UTC,17152050.6675646,10433055.6318817,9244.0745620438
2020-07-06 15:00:00 UTC,15988034.6360729,9226766.51502098,9271.7953875969
2020-07-06 16:00:00 UTC,13982234.9620169,8031701.58642057,9320.53355555556
2020-07-06 17:00:00 UTC,14630662.0722144,8358248.31017782,9315.19949152542
2020-07-06 18:00:00 UTC,14500568.6916386,7944923.58553273,9304.37023622047
2020-07-06 19:00:00 UTC,14667004.1167305,8517602.30830335,9285.67343137255
2020-07-06 20:00:00 UTC,13815495.6637519,9230184.10774533,9277.41419354839
2020-07-06 21:00:00 UTC,12967039.2871678,8856151.75242474,9279.70475
2020-07-06 22:00:00 UTC,12840018.6540131,9178339.71962799,9279.48831168831
2020-07-06 23:00:00 UTC,14048515.4591264,8661127.86009703,9329.71474358974
2020-07-07 00:00:00 UTC,14835064.073079,8424076.357487,9349.72823308271
2020-07-07 01:00:00 UTC,13611535.9390784,8871193.91308304,9320.64808695652
2020-07-07 02:00:00 UTC,12908304.8262226,8890995.1405497,9277.19967391304
2020-07-07 03:00:00 UTC,12570595.2457826,9276522.319483,9297.17203007519
2020-07-07 04:00:00 UTC,12522993.7539453,9116769.35033748,9289.56030434782
2020-07-07 05:00:00 UTC,12497520.4251827,8993935.53961024,9280.60029411765
2020-07-07 06:00:00 UTC,12243244.6613736,9518577.26293358,9268.03278985508
2020-07-07 07:00:00 UTC,12509302.5368275,11183745.896837,9253.89417763158
2020-07-07 08:00:00 UTC,12797013.5229429,10684800.5643526,9261.9287704918
2020-07-07 09:00:00 UTC,12160138.8128741,10800269.2811993,9244.67209558824
